prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13,ydum14,ydum15,ydum16,ydum17,ydum18,ydum19,ydum20,ydum21,ydum22,ydum23,ydum24,ydum25,ydum26,ydum27,ydum28,ydum29,ydum30
130000,1978,8.082242,0,7.264019,8.5285292,6.3153582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130000,1979,8.107193,0,7.3584418,8.5379753,6.3784261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130000,1980,8.0559444,0,7.2214065,8.5502415,6.4199948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130000,1981,8.0394926,0,7.3371625,8.5671253,6.4567695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130000,1982,8.1704569,0,7.2979975,8.5859728,6.5042882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140000,1953,7.6511555,0,6.2982683,7.2631755,5.0714169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1954,7.5462546,0,6.0264263,7.2892895,5.1977234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1955,7.4674234,0,6.0943708,7.3190036,5.3256893,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1956,7.5857582,0,6.0276418,7.3483171,5.4840913,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1957,7.5290012,0,6.0173583,7.3694367,5.4906306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1958,7.6408219,5.9688849,0,7.3908415,5.7231603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1959,7.5327439,6.0269423,0,7.4185228,5.7977586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1960,7.6390095,6.041677,0,7.4401584,5.7869892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1961,7.5700231,0,6.1545305,7.444272,5.6452703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1962,7.5992298,0,5.7200165,7.4646988,5.4421148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1963,7.8250751,0,6.0652542,7.4900322,5.4907131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1964,7.5462856,0,6.2415853,7.5089898,5.5502038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1965,7.5611696,0,6.1473341,7.5345278,5.6056552,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1966,7.3810549,0,6.4230342,7.555408,5.6130552,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1967,7.3828588,0,6.223731,7.5740194,5.643537,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1968,7.3341541,0,6.2485323,7.6007276,5.6524191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1969,7.4230351,0,6.1689258,7.6251512,5.6703291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1970,7.4480586,0,6.3334208,7.6550827,5.7397928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140000,1971,7.5255809,0,6.3061223,7.6798983,5.7809286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140000,1972,7.4926577,0,6.5681672,7.7021451,5.8361549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140000,1973,7.4618402,0,6.5168395,7.7219071,5.8587899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
