prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13
330000,1963,7.8552475,0,7.0965409,7.9375424,6.0310941,0,0,0,0,0,0,0,0,0,1,0,0
330000,1964,7.7516985,0,7.2344971,7.963655,5.9391708,0,0,0,0,0,0,0,0,0,0,1,0
330000,1965,7.6523714,0,7.2918453,7.9920487,5.9607992,0,0,0,0,0,0,0,0,0,0,0,1
340000,1953,8.5349464,0,6.7255812,8.0281286,5.3327188,0,0,0,0,0,0,0,0,0,0,0,0
340000,1954,8.220355,0,6.3892293,8.0548401,5.659482,1,0,0,0,0,0,0,0,0,0,0,0
340000,1955,8.4253902,0,6.8950019,8.0712185,5.5909872,0,1,0,0,0,0,0,0,0,0,0,0
340000,1956,7.9899435,0,6.7489147,8.0842543,5.7104268,0,0,1,0,0,0,0,0,0,0,0,0
340000,1957,8.324708,0,6.7381048,8.1128273,5.8749309,0,0,0,1,0,0,0,0,0,0,0,0
340000,1958,8.6437845,6.669538,0,8.1297646,6.1862087,0,0,0,0,1,0,0,0,0,0,0,0
340000,1959,10.064857,6.6219425,0,8.1394405,6.4068799,0,0,0,0,0,1,0,0,0,0,0,0
340000,1960,7.8111119,6.4163184,0,8.0205994,6.2105999,0,0,0,0,0,0,1,0,0,0,0,0
340000,1961,7.8075604,0,6.3605199,8.0023594,6.0822191,0,0,0,0,0,0,0,1,0,0,0,0
340000,1962,7.8168716,0,6.3444276,8.050065,5.9584246,0,0,0,0,0,0,0,0,1,0,0,0
340000,1963,7.9300337,0,6.4724007,8.0808563,5.9584246,0,0,0,0,0,0,0,0,0,1,0,0
340000,1964,7.7419868,0,6.6957374,8.0649509,5.9558372,0,0,0,0,0,0,0,0,0,0,1,0
340000,1965,7.7577491,0,6.5901937,8.0974264,5.9839363,0,0,0,0,0,0,0,0,0,0,0,1
350000,1953,7.2563972,0,5.5037861,7.1720562,5.0284753,0,0,0,0,0,0,0,0,0,0,0,0
350000,1954,7.2356443,0,5.4777489,7.1993122,5.1375618,1,0,0,0,0,0,0,0,0,0,0,0
350000,1955,7.2398982,0,5.5637493,7.2200956,5.2439141,0,1,0,0,0,0,0,0,0,0,0,0
350000,1956,7.224339,0,5.9804692,7.2445416,5.5120974,0,0,1,0,0,0,0,0,0,0,0,0
350000,1957,7.2223597,0,5.8191633,7.2810483,5.3754172,0,0,0,1,0,0,0,0,0,0,0,0
350000,1958,7.5287356,5.6990366,0,7.3087974,5.6538916,0,0,0,0,1,0,0,0,0,0,0,0
350000,1959,8.0690651,5.3923554,0,7.3415165,5.7709737,0,0,0,0,0,1,0,0,0,0,0,0
350000,1960,7.8298769,5.4126744,0,7.3604984,5.8637166,0,0,0,0,0,0,1,0,0,0,0,0
350000,1961,7.5291104,0,5.516026,7.376389,5.7649717,0,0,0,0,0,0,0,1,0,0,0,0
350000,1962,7.3339591,0,5.61233,7.4022379,5.6594472,0,0,0,0,0,0,0,0,1,0,0,0
350000,1963,7.2840147,0,5.8501606,7.4255786,5.6479526,0,0,0,0,0,0,0,0,0,1,0,0
350000,1964,7.2070642,0,5.7955618,7.440258,5.6333957,0,0,0,0,0,0,0,0,0,0,1,0
350000,1965,7.2076645,0,5.7849135,7.4729328,5.660666,0,0,0,0,0,0,0,0,0,0,0,1
360000,1953,7.7827148,0,6.550354,7.4355855,5.4899702,0,0,0,0,0,0,0,0,0,0,0,0
360000,1954,7.9400024,0,6.1577768,7.4557261,5.5436139,1,0,0,0,0,0,0,0,0,0,0,0
360000,1955,7.697331,0,6.1518502,7.4749875,5.5184164,0,1,0,0,0,0,0,0,0,0,0,0
360000,1956,7.6335464,0,6.4255242,7.4955254,5.5417733,0,0,1,0,0,0,0,0,0,0,0,0
360000,1957,7.6494756,0,6.3798294,7.5237246,5.5808611,0,0,0,1,0,0,0,0,0,0,0,0
360000,1958,7.8195038,6.7221918,0,7.5563703,5.8014836,0,0,0,0,1,0,0,0,0,0,0,0
360000,1959,8.062561,6.3255463,0,7.5888147,5.8663831,0,0,0,0,0,1,0,0,0,0,0,0
360000,1960,7.7490497,6.2536502,0,7.6058154,5.9935622,0,0,0,0,0,0,1,0,0,0,0,0
360000,1961,7.7074838,0,6.5655375,7.6121736,5.854126,0,0,0,0,0,0,0,1,0,0,0,0
360000,1962,7.5963683,0,6.3985872,7.6206608,5.7349582,0,0,0,0,0,0,0,0,1,0,0,0
360000,1963,7.7336044,0,6.479507,7.6501832,5.8230457,0,0,0,0,0,0,0,0,0,1,0,0
360000,1964,7.607316,0,6.6797752,7.6702557,5.8006067,0,0,0,0,0,0,0,0,0,0,1,0
360000,1965,7.5427155,0,6.6521964,7.7005396,5.8492093,0,0,0,0,0,0,0,0,0,0,0,1
370000,1953,8.6588802,0,6.9716082,8.5018768,5.7170277,0,0,0,0,0,0,0,0,0,0,0,0
370000,1954,8.84235,0,7.0785403,8.5275393,5.768321,1,0,0,0,0,0,0,0,0,0,0,0
370000,1955,8.7420216,0,6.9123287,8.5514011,5.9348941,0,1,0,0,0,0,0,0,0,0,0,0
370000,1956,8.7577457,0,7.0793467,8.5671253,5.9532433,0,0,1,0,0,0,0,0,0,0,0,0
370000,1957,8.8360014,0,7.0632324,8.5891418,6.0799332,0,0,0,1,0,0,0,0,0,0,0,0
370000,1958,9.1401367,7.1455898,0,8.5412998,6.4167323,0,0,0,0,1,0,0,0,0,0,0,0
370000,1959,9.4478035,7.072228,0,8.5891418,6.3613024,0,0,0,0,0,1,0,0,0,0,0,0
370000,1960,9.1638689,6.856195,0,8.5541039,6.302619,0,0,0,0,0,0,1,0,0,0,0,0
370000,1961,8.7594566,0,6.910079,8.5688362,6.1333981,0,0,0,0,0,0,0,1,0,0,0,0
370000,1962,8.764472,0,7.0463839,8.5989571,6.0185933,0,0,0,0,0,0,0,0,1,0,0,0
370000,1963,8.8101616,0,6.9593925,8.62784,6.0730443,0,0,0,0,0,0,0,0,0,1,0,0
370000,1964,8.6513958,0,7.0121469,8.6315928,6.0980744,0,0,0,0,0,0,0,0,0,0,1,0
